record_type,timestamp_iso,timestamp_ms,monotonic_ms,sequence,age_ms,quality,pack_mV,current_mA,power_mW,rmcap_mAh,nominal_mAh,rsoc,fets,cycles,production_raw,protection,balance_low,balance_high,min_mV,max_mV,average_mV,delta_mV,min_index,max_index,poll_us,timeouts,checksum_errors,discarded_frames,link_errors,dropped_logs,hardware,cell_count,ntc_count,temp_01_dC,temp_02_dC,temp_03_dC,temp_04_dC,temp_05_dC,temp_06_dC,temp_07_dC,temp_08_dC,cell_01_mV,cell_02_mV,cell_03_mV,cell_04_mV,cell_05_mV,cell_06_mV,cell_07_mV,cell_08_mV,cell_09_mV,cell_10_mV,cell_11_mV,cell_12_mV,cell_13_mV,cell_14_mV,cell_15_mV,cell_16_mV,cell_17_mV,cell_18_mV,cell_19_mV,cell_20_mV,cell_21_mV,cell_22_mV,cell_23_mV,cell_24_mV,cell_25_mV,cell_26_mV,cell_27_mV,cell_28_mV,cell_29_mV,cell_30_mV,cell_31_mV,cell_32_mV
MASTER_SAMPLE,2026-08-21T12:04:52Z,1787313892000,324,1,0,283,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3332,3328,5,1,24,250984,0,0,0,0,0,,24,5,262,255,253,253,252,,,,3327,3327,3328,3328,3329,3329,3330,3328,3329,3330,3329,3329,3329,3330,3327,3328,3328,3328,3328,3329,3328,3329,3330,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:04:53Z,1787313893000,1322,2,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3332,3328,5,1,24,247847,0,0,0,0,0,SP24S004L24S120A,24,5,262,254,253,253,251,,,,3327,3327,3328,3327,3328,3329,3330,3328,3329,3329,3329,3329,3330,3330,3327,3328,3328,3328,3328,3329,3328,3329,3330,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:04:54Z,1787313894000,2322,3,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3332,3328,5,1,24,248198,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,253,253,251,,,,3327,3327,3327,3328,3329,3328,3330,3328,3329,3330,3328,3328,3330,3330,3327,3328,3328,3328,3328,3329,3328,3329,3330,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:04:55Z,1787313895000,3322,4,0,287,79890,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,1,24,248117,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,254,253,252,,,,3326,3327,3328,3328,3329,3329,3331,3328,3329,3330,3329,3330,3330,3330,3327,3327,3328,3327,3328,3329,3328,3329,3330,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:04:56Z,1787313896000,4323,5,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,249133,0,0,0,0,0,SP24S004L24S120A,24,5,262,254,253,254,251,,,,3327,3326,3328,3328,3328,3328,3330,3328,3329,3330,3329,3329,3330,3330,3327,3328,3328,3328,3328,3328,3328,3329,3330,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:04:57Z,1787313897000,5322,6,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3332,3328,5,1,24,247658,0,0,0,0,0,SP24S004L24S120A,24,5,262,255,252,254,250,,,,3327,3327,3328,3328,3329,3329,3331,3328,3329,3329,3329,3328,3330,3331,3327,3328,3328,3327,3328,3329,3328,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:04:58Z,1787313898000,6322,7,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3332,3328,5,1,24,247570,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,253,253,251,,,,3327,3327,3327,3328,3329,3330,3331,3328,3329,3330,3329,3328,3330,3330,3327,3327,3328,3328,3328,3329,3328,3329,3330,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:04:59Z,1787313899000,7323,8,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3331,3328,4,1,7,248954,0,0,0,0,0,SP24S004L24S120A,24,5,263,253,253,253,252,,,,3327,3327,3328,3328,3328,3329,3331,3329,3329,3330,3329,3329,3329,3330,3327,3328,3328,3327,3328,3329,3328,3329,3329,3331,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:05:00Z,1787313900000,8324,9,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,249466,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,254,253,252,,,,3327,3326,3328,3328,3329,3329,3330,3328,3329,3329,3330,3329,3328,3331,3327,3328,3328,3328,3328,3328,3328,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:05:01Z,1787313901000,9322,10,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,248143,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,253,254,252,,,,3327,3326,3328,3328,3329,3329,3330,3328,3329,3330,3329,3328,3329,3330,3327,3327,3328,3328,3328,3328,3328,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:05:02Z,1787313902000,10323,11,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3331,3328,4,1,7,249232,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,254,253,252,,,,3327,3327,3328,3328,3328,3329,3331,3328,3329,3330,3329,3328,3330,3331,3327,3327,3328,3328,3328,3328,3328,3329,3330,3331,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:05:03Z,1787313903000,11324,12,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,250277,0,0,0,0,0,SP24S004L24S120A,24,5,263,255,253,254,252,,,,3327,3326,3327,3329,3328,3329,3330,3328,3328,3329,3329,3328,3330,3331,3327,3328,3328,3328,3328,3329,3328,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:05:04Z,1787313904000,12322,13,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,247605,0,0,0,0,0,SP24S004L24S120A,24,5,262,255,252,254,251,,,,3327,3326,3328,3329,3329,3328,3330,3328,3329,3329,3329,3329,3330,3330,3327,3328,3328,3328,3328,3329,3328,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:05:05Z,1787313905000,13323,14,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,1,24,249142,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,253,253,252,,,,3326,3327,3328,3327,3329,3329,3330,3328,3329,3329,3329,3329,3329,3330,3327,3328,3328,3328,3328,3328,3328,3329,3330,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T12:05:06Z,1787313906000,14324,15,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3332,3328,5,1,24,250074,0,0,0,0,0,SP24S004L24S120A,24,5,262,255,252,254,251,,,,3327,3327,3328,3328,3329,3329,3330,3329,3329,3331,3329,3329,3330,3330,3327,3328,3328,3328,3328,3328,3328,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:09:53Z,1787324993000,15322,16,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3332,3328,5,1,24,248271,0,0,0,0,0,SP24S004L24S120A,24,5,262,254,253,253,251,,,,3327,3327,3328,3328,3328,3328,3331,3329,3329,3329,3329,3328,3330,3330,3327,3328,3328,3328,3328,3329,3328,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:09:54Z,1787324994000,16323,17,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3332,3328,5,1,24,249276,0,0,0,0,0,SP24S004L24S120A,24,5,262,254,254,253,252,,,,3327,3327,3328,3328,3329,3328,3330,3327,3328,3330,3328,3329,3329,3331,3327,3327,3328,3328,3328,3328,3328,3329,3330,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:09:55Z,1787324995000,17324,18,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,1,24,249531,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,252,254,251,,,,3326,3327,3327,3328,3328,3329,3331,3328,3329,3330,3329,3328,3330,3331,3327,3328,3328,3327,3328,3329,3328,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:09:56Z,1787324996000,18322,19,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3332,3328,5,1,24,247717,0,0,0,0,0,SP24S004L24S120A,24,5,262,255,253,254,251,,,,3327,3327,3328,3328,3328,3328,3331,3327,3329,3330,3329,3328,3330,3331,3327,3328,3328,3328,3328,3329,3328,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:09:57Z,1787324997000,19322,20,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,248412,0,0,0,0,0,SP24S004L24S120A,24,5,262,254,253,253,251,,,,3327,3326,3328,3328,3329,3329,3330,3328,3329,3331,3328,3329,3330,3330,3327,3327,3328,3327,3328,3329,3328,3329,3330,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:09:58Z,1787324998000,20323,21,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,248692,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,253,254,251,,,,3327,3326,3328,3327,3328,3329,3330,3328,3329,3329,3329,3328,3330,3331,3327,3327,3328,3327,3328,3328,3328,3330,3330,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:09:59Z,1787324999000,21324,22,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,249644,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,253,254,251,,,,3327,3326,3327,3328,3328,3329,3331,3329,3329,3330,3329,3329,3330,3330,3327,3327,3328,3328,3328,3328,3328,3329,3330,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:10:00Z,1787325000000,22322,23,0,287,79890,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,247659,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,253,253,251,,,,3327,3326,3329,3329,3329,3329,3331,3329,3329,3330,3329,3329,3330,3331,3327,3328,3328,3328,3328,3328,3328,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:10:01Z,1787325001000,23323,24,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3332,3328,5,1,24,249354,0,0,0,0,0,SP24S004L24S120A,24,5,263,255,253,254,251,,,,3327,3327,3327,3328,3329,3329,3330,3328,3329,3330,3329,3329,3330,3330,3327,3328,3328,3328,3328,3328,3328,3329,3330,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:10:02Z,1787325002000,24322,25,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,248354,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,253,253,251,,,,3327,3326,3328,3328,3328,3329,3331,3328,3329,3329,3328,3328,3329,3331,3327,3328,3328,3328,3328,3328,3328,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:10:03Z,1787325003000,25322,26,0,287,79890,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,2,14,247547,0,0,0,0,0,SP24S004L24S120A,24,5,262,255,253,253,251,,,,3328,3326,3328,3329,3329,3329,3330,3328,3330,3330,3329,3329,3330,3331,3327,3328,3328,3328,3328,3328,3328,3329,3329,3331,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:10:04Z,1787325004000,26324,27,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,1,24,249630,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,254,252,252,,,,3326,3327,3329,3328,3328,3329,3330,3328,3329,3330,3329,3329,3330,3331,3328,3328,3328,3328,3328,3328,3328,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:10:05Z,1787325005000,27322,28,0,287,79890,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,247806,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,253,254,250,,,,3327,3326,3328,3327,3329,3328,3331,3329,3329,3329,3329,3328,3331,3331,3327,3328,3328,3328,3328,3328,3329,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:10:06Z,1787325006000,28323,29,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,248831,0,0,0,0,0,SP24S004L24S120A,24,5,263,255,253,254,251,,,,3327,3326,3328,3327,3329,3329,3331,3328,3330,3330,3329,3328,3330,3330,3327,3328,3328,3328,3328,3328,3328,3329,3330,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:10:07Z,1787325007000,29324,30,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,1,24,250222,0,0,0,0,0,SP24S004L24S120A,24,5,263,255,253,253,252,,,,3326,3327,3328,3328,3328,3329,3331,3328,3328,3329,3328,3329,3329,3331,3327,3328,3328,3327,3328,3328,3328,3329,3329,3332,,,,,,,,
MASTER_SAMPLE,2026-08-21T15:10:08Z,1787325008000,30322,31,0,287,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,2,24,248385,0,0,0,0,0,SP24S004L24S120A,24,5,263,254,253,253,251,,,,3327,3326,3328,3328,3329,3329,3330,3328,3329,3329,3329,3329,3330,3330,3327,3327,3328,3327,3328,3329,3328,3329,3329,3331,,,,,,,,
