record_type,timestamp_iso,timestamp_ms,monotonic_ms,sequence,age_ms,quality,pack_mV,current_mA,power_mW,rmcap_mAh,nominal_mAh,rsoc,fets,cycles,production_raw,protection,balance_low,balance_high,min_mV,max_mV,average_mV,delta_mV,min_index,max_index,poll_us,timeouts,checksum_errors,discarded_frames,link_errors,dropped_logs,hardware,cell_count,ntc_count,temp_01_dC,temp_02_dC,temp_03_dC,temp_04_dC,temp_05_dC,temp_06_dC,temp_07_dC,temp_08_dC,cell_01_mV,cell_02_mV,cell_03_mV,cell_04_mV,cell_05_mV,cell_06_mV,cell_07_mV,cell_08_mV,cell_09_mV,cell_10_mV,cell_11_mV,cell_12_mV,cell_13_mV,cell_14_mV,cell_15_mV,cell_16_mV,cell_17_mV,cell_18_mV,cell_19_mV,cell_20_mV,cell_21_mV,cell_22_mV,cell_23_mV,cell_24_mV,cell_25_mV,cell_26_mV,cell_27_mV,cell_28_mV,cell_29_mV,cell_30_mV,cell_31_mV,cell_32_mV
SLAVE_SAMPLE,2026-08-21T15:14:33Z,1787325273000,277,295,737,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,2,7,247770,1,0,0,0,0,SP24S004L24S120A,24,5,266,255,254,254,252,,,,3327,3326,3327,3328,3328,3329,3331,3327,3329,3330,3328,3329,3329,3330,3327,3328,3328,3328,3327,3328,3328,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:14:34Z,1787325274000,1277,296,737,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,2,24,247762,1,0,0,0,0,SP24S004L24S120A,24,5,267,255,254,253,252,,,,3327,3326,3327,3328,3328,3328,3330,3328,3329,3329,3329,3328,3329,3330,3327,3328,3328,3327,3328,3328,3328,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:14:35Z,1787325275000,2278,297,736,799,79870,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,1,14,248728,1,0,0,0,0,SP24S004L24S120A,24,5,266,256,254,254,251,,,,3326,3327,3327,3328,3328,3329,3329,3328,3329,3329,3328,3328,3329,3331,3327,3327,3328,3328,3328,3328,3328,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:14:36Z,1787325276000,3277,298,737,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,1,7,247712,1,0,0,0,0,SP24S004L24S120A,24,5,266,255,254,254,252,,,,3326,3326,3328,3327,3329,3328,3331,3328,3329,3329,3329,3328,3330,3330,3327,3327,3328,3327,3328,3328,3328,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:14:37Z,1787325277000,4277,299,737,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,247607,1,0,0,0,0,SP24S004L24S120A,24,5,267,255,254,254,251,,,,3327,3326,3328,3328,3328,3329,3331,3328,3329,3329,3329,3328,3329,3330,3327,3327,3328,3328,3328,3328,3328,3329,3329,3332,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:14:38Z,1787325278000,5278,300,736,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,248698,1,0,0,0,0,SP24S004L24S120A,24,5,266,256,254,254,252,,,,3327,3326,3328,3328,3328,3328,3330,3328,3328,3329,3329,3329,3330,3330,3327,3328,3328,3328,3328,3328,3328,3329,3329,3332,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:14:39Z,1787325279000,6277,301,737,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,2,24,247741,1,0,0,0,0,SP24S004L24S120A,24,5,266,255,254,254,251,,,,3327,3326,3328,3328,3328,3328,3330,3328,3328,3330,3329,3329,3329,3330,3327,3327,3328,3328,3328,3328,3328,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:14:40Z,1787325280000,7277,302,737,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,2,7,247768,1,0,0,0,0,SP24S004L24S120A,24,5,267,255,254,254,251,,,,3327,3326,3328,3327,3328,3329,3331,3328,3329,3330,3329,3328,3329,3331,3327,3327,3327,3327,3328,3328,3328,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:14:41Z,1787325281000,8279,303,735,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,249694,1,0,0,0,0,SP24S004L24S120A,24,5,266,257,254,254,252,,,,3327,3326,3328,3326,3328,3328,3330,3328,3329,3330,3329,3328,3330,3330,3327,3327,3328,3327,3328,3328,3328,3329,3329,3332,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:14:42Z,1787325282000,9277,304,737,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,2,24,247813,1,0,0,0,0,SP24S004L24S120A,24,5,266,256,253,254,251,,,,3327,3326,3328,3328,3329,3329,3330,3329,3329,3330,3329,3328,3330,3329,3327,3327,3328,3328,3327,3328,3328,3329,3329,3331,,,,,,,,
